task,dataset,repeat,seed,method,final_utility,normalized_auc,utility_at_call_10,utility_at_call_20,utility_at_call_60,calls_to_95pct_oracle_gain,reached_95pct_oracle_gain,final_utility_matches_oracle,base_utility,oracle_utility,final_gap_to_oracle
classification,white,10,32010,Data-All,0.7666666666666667,0.7565972222222221,0.7625,0.7666666666666667,0.7666666666666667,7,1,1,0.6708333333333333,0.7666666666666667,0.0
classification,white,10,32010,Data-Alt,0.7416666666666667,0.7481944444444445,0.7666666666666667,0.7666666666666667,0.7416666666666667,2,1,0,0.6708333333333333,0.7666666666666667,0.025000000000000022
classification,white,10,32010,AutoML,0.6708333333333333,0.6708333333333333,0.6708333333333333,0.6708333333333333,0.6708333333333333,61,0,0,0.6708333333333333,0.7666666666666667,0.09583333333333344
classification,white,11,32011,Data-Bandit,0.6833333333333333,0.6879861111111111,0.7458333333333333,0.6833333333333333,0.6833333333333333,8,1,0,0.6666666666666666,0.7291666666666666,0.04583333333333328
classification,white,11,32011,Data-All,0.7291666666666666,0.7174999999999999,0.6916666666666667,0.7291666666666666,0.7291666666666666,17,1,1,0.6666666666666666,0.7291666666666666,0.0
classification,white,11,32011,Data-Alt,0.7291666666666666,0.7256944444444443,0.7291666666666666,0.7291666666666666,0.7291666666666666,8,1,1,0.6666666666666666,0.7291666666666666,0.0
classification,white,11,32011,AutoML,0.6375,0.6394444444444447,0.6375,0.6375,0.6375,61,0,0,0.6666666666666666,0.7291666666666666,0.09166666666666667
classification,white,12,32012,Data-Bandit,0.7416666666666667,0.747013888888889,0.7666666666666667,0.7416666666666667,0.7416666666666667,3,1,1,0.675,0.7416666666666667,0.0
classification,white,12,32012,Data-All,0.7416666666666667,0.7369444444444445,0.7375,0.75,0.7416666666666667,11,1,1,0.675,0.7416666666666667,0.0
classification,white,12,32012,Data-Alt,0.7416666666666667,0.7438194444444445,0.75,0.7416666666666667,0.7416666666666667,3,1,1,0.675,0.7416666666666667,0.0
classification,white,12,32012,AutoML,0.675,0.6749999999999997,0.675,0.675,0.675,61,0,0,0.675,0.7416666666666667,0.06666666666666665
classification,white,13,32013,Data-Bandit,0.7541666666666667,0.7525000000000001,0.7541666666666667,0.7541666666666667,0.7541666666666667,2,1,0,0.6916666666666667,0.7375,-0.016666666666666607
classification,white,13,32013,Data-All,0.7375,0.7349999999999998,0.7625,0.7375,0.7375,7,1,1,0.6916666666666667,0.7375,0.0
classification,white,13,32013,Data-Alt,0.7375,0.7381944444444442,0.7375,0.7375,0.7375,2,1,1,0.6916666666666667,0.7375,0.0
classification,white,13,32013,AutoML,0.6875,0.6875,0.6875,0.6875,0.6875,61,0,0,0.6916666666666667,0.7375,0.050000000000000044
classification,white,14,32014,Data-Bandit,0.7166666666666667,0.713888888888889,0.7166666666666667,0.7166666666666667,0.7166666666666667,6,1,1,0.6541666666666667,0.7166666666666667,0.0
classification,white,14,32014,Data-All,0.7166666666666667,0.7040972222222223,0.6833333333333333,0.6958333333333333,0.7166666666666667,23,1,1,0.6541666666666667,0.7166666666666667,0.0
classification,white,14,32014,Data-Alt,0.7166666666666667,0.7123611111111112,0.7041666666666667,0.7166666666666667,0.7166666666666667,12,1,1,0.6541666666666667,0.7166666666666667,0.0
