seed,prior,learning_rate,batch_size,rounds,initial_kl,final_kl,tail_mean_kl,tail_std_kl
20270717,slightly_skewed,1/sqrt(t),100,1000,0.05565439081665732,0.0003838266416056208,0.0005514140293789453,0.00012202754070022189
20270717,slightly_skewed,1/2,10,1000,0.05565439081665732,0.024293852711034486,0.0733890125645315,0.04529418791958926
20270717,slightly_skewed,1/2,100,1000,0.05565439081665732,0.005140767865238191,0.00638192193160531,0.0032702660565719108
20270717,highly_skewed,1/(t+1),10,1000,0.23682192916688416,0.0027477757425094264,0.002791686777923768,3.093592824750637e-05
20270717,highly_skewed,1/(t+1),100,1000,0.23682192916688416,0.013663215637488239,0.013788978321924444,5.8923502714533885e-05
20270717,highly_skewed,1/sqrt(t),10,1000,0.23682192916688416,0.005257346894789093,0.0034358582058749516,0.0012237200566042584
20270717,highly_skewed,1/sqrt(t),100,1000,0.23682192916688416,0.0013438846257443106,0.0014858620897718886,7.283981925828446e-05
20270717,highly_skewed,1/2,10,1000,0.23682192916688416,0.5764865352793805,0.5247748788619874,0.055530759765016945
20270717,highly_skewed,1/2,100,1000,0.23682192916688416,0.005727264770384911,0.008834814779852101,0.0038327584484689316
20270717,extremely_skewed,1/(t+1),10,1000,0.5928809603744556,0.005298270914465768,0.005236784195949053,6.005119413316541e-05
20270717,extremely_skewed,1/(t+1),100,1000,0.5928809603744556,0.0003964011062156398,0.0003949835943305115,1.914457765137167e-06
20270717,extremely_skewed,1/sqrt(t),10,1000,0.5928809603744556,0.009767031549307078,0.009804460724798878,0.0011427232990160407
20270717,extremely_skewed,1/sqrt(t),100,1000,0.5928809603744556,0.00022690102401675283,0.00028531579274756883,0.00014272883464368073
20270717,extremely_skewed,1/2,10,1000,0.5928809603744556,0.4529548203473822,0.43466554144032576,0.04374359832465823
20270717,extremely_skewed,1/2,100,1000,0.5928809603744556,0.009261814113263904,0.012415039619747903,0.0035582680086865396
20270718,random,1/(t+1),10,1000,0.22851160851390787,0.06464249561355206,0.0651956104683025,0.00025565286695160527
20270718,random,1/(t+1),100,1000,0.22851160851390787,0.05826215111077916,0.05846594079997947,0.00012365559710267036
20270718,random,1/sqrt(t),10,1000,0.22851160851390787,0.0020964598229453162,0.0025910156363922092,0.001487695545416824
20270718,random,1/sqrt(t),100,1000,0.22851160851390787,0.0016792083311314328,0.001549272226322369,7.856191677645851e-05
20270718,random,1/2,10,1000,0.22851160851390787,0.14601745117599535,0.1510369792660015,0.05967126408092632
20270718,random,1/2,100,1000,0.22851160851390787,0.011285860746825641,0.004393830036289324,0.0031120545874390513
20270718,uniform,1/(t+1),10,1000,0.0,0.004952076157632936,0.004986064111109282,4.556718008826674e-05
20270718,uniform,1/(t+1),100,1000,0.0,0.00015910122639527322,0.0001518129813817917,4.011500003379517e-06
20270718,uniform,1/sqrt(t),10,1000,0.0,0.006213285659803956,0.0036726260351610763,0.0015173912345400678
20270718,uniform,1/sqrt(t),100,1000,0.0,0.0005961018266355681,0.00031372271548789463,0.00014824804846317555
20270718,uniform,1/2,10,1000,0.0,0.05921473720427359,0.06218846738568673,0.04726791223291764
